,recovery,temperature,code1,code2,share1,share2
3,30,328.12539866401033,AHS,AWB,0.33,0.67
4,40,410.8071967615625,AHS,AWB,0.33,0.67
5,50,476.5742726321201,AHS,AWB,0.33,0.67
6,60,539.8748842636293,AHS,AWB,0.33,0.67
7,70,609.2447060424458,AHS,AWB,0.33,0.67
8,80,,AHS,AWB,0.33,0.67
9,90,,AHS,AWB,0.33,0.67
10,95,,AHS,AWB,0.33,0.67
11,99,,AHS,AWB,0.33,0.67
0,5,38.88189340446429,AHS,AWB,0.34,0.66
1,10,63.188583954259755,AHS,AWB,0.34,0.66
2,20,178.66801187023768,AHS,AWB,0.34,0.66
3,30,328.501977241804,AHS,AWB,0.34,0.66
4,40,411.3046470218456,AHS,AWB,0.34,0.66
5,50,476.9207721316071,AHS,AWB,0.34,0.66
6,60,539.8435409824125,AHS,AWB,0.34,0.66
7,70,608.7414262615035,AHS,AWB,0.34,0.66
8,80,,AHS,AWB,0.34,0.66
9,90,,AHS,AWB,0.34,0.66
10,95,,AHS,AWB,0.34,0.66
11,99,,AHS,AWB,0.34,0.66
0,5,38.939772703297095,AHS,AWB,0.35,0.65
1,10,63.42778628659361,AHS,AWB,0.35,0.65
2,20,178.68778799990332,AHS,AWB,0.35,0.65
3,30,328.88129650414396,AHS,AWB,0.35,0.65
4,40,411.8020665604764,AHS,AWB,0.35,0.65
5,50,477.263850505785,AHS,AWB,0.35,0.65
6,60,539.8125985998903,AHS,AWB,0.35,0.65
7,70,608.2446447179442,AHS,AWB,0.35,0.65
8,80,,AHS,AWB,0.35,0.65
9,90,,AHS,AWB,0.35,0.65
10,95,,AHS,AWB,0.35,0.65
11,99,,AHS,AWB,0.35,0.65
0,5,38.997644980385715,AHS,AWB,0.36,0.64
1,10,63.66933846068565,AHS,AWB,0.36,0.64
2,20,178.70757472855055,AHS,AWB,0.36,0.64
3,30,329.2634224183227,AHS,AWB,0.36,0.64
4,40,412.2994653505364,AHS,AWB,0.36,0.64
5,50,477.60353655363656,AHS,AWB,0.36,0.64
6,60,539.7820494188064,AHS,AWB,0.36,0.64
7,70,607.7542326334444,AHS,AWB,0.36,0.64
8,80,,AHS,AWB,0.36,0.64
9,90,,AHS,AWB,0.36,0.64
10,95,,AHS,AWB,0.36,0.64
11,99,,AHS,AWB,0.36,0.64
0,5,39.05546906570407,AHS,AWB,0.37,0.63
1,10,63.913258983486315,AHS,AWB,0.37,0.63
2,20,178.7273722624689,AHS,AWB,0.37,0.63
3,30,329.6483926468574,AHS,AWB,0.37,0.63
4,40,412.79681953961176,AHS,AWB,0.37,0.63
5,50,477.93988231919093,AHS,AWB,0.37,0.63
6,60,539.7518859404761,AHS,AWB,0.37,0.63
7,70,607.2700796425389,AHS,AWB,0.37,0.63
8,80,,AHS,AWB,0.37,0.63
9,90,,AHS,AWB,0.37,0.63
10,95,,AHS,AWB,0.37,0.63
11,99,,AHS,AWB,0.37,0.63
0,5,39.11319628848255,AHS,AWB,0.38,0.62
1,10,64.15959280811433,AHS,AWB,0.38,0.62
2,20,178.74718080092367,AHS,AWB,0.38,0.62
3,30,330.03628517598986,AHS,AWB,0.38,0.62
4,40,413.2941382123836,AHS,AWB,0.38,0.62
5,50,478.27292908222086,AHS,AWB,0.38,0.62
6,60,539.7221008582951,AHS,AWB,0.38,0.62
7,70,606.7920613244245,AHS,AWB,0.38,0.62
8,80,,AHS,AWB,0.38,0.62
9,90,,AHS,AWB,0.38,0.62
10,95,,AHS,AWB,0.38,0.62
11,99,,AHS,AWB,0.38,0.62
0,5,39.17083569844407,AHS,AWB,0.39,0.61
